location_id,pm2_5,pm10,no2,so2,o3,co,aqi
12.0,10.59,17.08,3.8,1.57,68.01,179.31,2
13.0,14.19,29.8,6.9,1.33,64.57,179.12,2
15.0,15.48,30.95,7.1,1.83,67.35,183.53,2
16.0,14.33,30.1,8.64,1.49,61.21,198.46,2
17.0,15.48,30.95,7.1,1.83,67.35,183.53,2
22.0,2.79,4.38,3.2,0.94,37.92,189.62,1
50.0,14.19,29.8,6.9,1.33,64.57,179.12,2
103.0,14.33,30.1,8.64,1.49,61.21,198.46,2
235.0,14.33,30.1,8.64,1.49,61.21,198.46,2
236.0,14.33,30.1,8.64,1.49,61.21,198.46,2
286.0,19.42,21.86,13.87,3.12,9.86,298.81,2
301.0,15.48,30.95,7.1,1.83,67.35,183.53,2
346.0,13.49,30.05,5.53,1.14,68.5,159.18,2
354.0,15.3,21.46,6.11,2.21,66.71,251.1,2
378.0,18.08,22.77,18.68,19.39,39.8,208.67,2
407.0,5.5,6.86,13.3,10.88,26.32,179.49,1
412.0,1.93,3.13,5.64,1.12,27.19,144.89,1
431.0,14.33,30.1,8.64,1.49,61.21,198.46,2
594.0,4.63,7.31,9.93,2.2,28.84,195.86,1
697.0,8.35,9.2,1.16,0.55,74.18,207.85,2
703.0,6.34,25.86,2.44,0.43,50.24,111.12,2
716.0,9.57,10.22,1.4,0.59,76.41,232.3,2
797.0,6.02,9.71,12.9,2.82,22.92,227.48,1
854.0,13.0,15.45,4.44,0.85,21.22,291.49,2
860.0,11.76,20.42,3.31,0.61,64.4,148.95,2
910.0,8.85,9.57,1.1,0.42,76.61,218.79,2
985.0,46.84,58.9,15.14,6.97,4.64,878.21,3
2345.0,6.43,14.28,6.42,0.77,54.01,157.08,1
2445.0,2.53,4.12,2.6,0.75,37.63,183.0,1
2456.0,15.3,21.46,6.11,2.21,66.71,251.1,2
2459.0,6.1,7.33,11.39,7.96,28.22,189.75,1
2460.0,8.85,9.57,1.1,0.42,76.61,218.79,2
2461.0,28.91,34.82,20.12,16.21,36.75,246.94,3
2463.0,15.3,21.46,6.11,2.21,66.71,251.1,2
2503.0,14.19,29.8,6.9,1.33,64.57,179.12,2
2549.0,25.19,30.48,19.93,16.7,36.62,232.47,3
2583.0,29.02,67.59,6.94,3.16,63.85,217.12,3
2585.0,1.58,2.23,1.53,0.52,31.56,86.78,1
2586.0,28.91,34.82,20.12,16.21,36.75,246.94,3
2587.0,15.19,30.36,8.02,1.73,65.07,194.46,2
2589.0,6.02,9.71,12.9,2.82,22.92,227.48,1
2591.0,23.34,25.44,4.56,2.08,39.75,302.8,2
2592.0,4.63,7.31,9.93,2.2,28.84,195.86,1
2593.0,30.45,35.0,12.47,3.12,6.23,414.39,3
2594.0,6.1,7.33,11.39,7.96,28.22,189.75,1
2595.0,10.59,17.08,3.8,1.57,68.01,179.31,2
2596.0,2.41,3.08,7.18,0.83,20.78,155.96,1
2597.0,15.48,30.95,7.1,1.83,67.35,183.53,2
2598.0,1.44,3.21,0.16,0.28,32.86,76.94,1
3459.0,26.44,31.03,19.72,7.0,6.38,617.11,3
3460.0,26.44,31.03,19.72,7.0,6.38,617.11,3
5404.0,14.19,29.8,6.9,1.33,64.57,179.12,2
5408.0,8.22,9.72,3.2,1.27,63.52,156.22,2
5443.0,5.9,9.9,2.7,0.86,58.4,138.88,1
5505.0,10.37,14.3,6.39,1.58,27.08,299.98,2
5509.0,14.33,30.1,8.64,1.49,61.21,198.46,2
5540.0,14.19,29.8,6.9,1.33,64.57,179.12,2
5541.0,14.33,30.1,8.64,1.49,61.21,198.46,2
5542.0,28.6,66.44,6.64,4.82,63.21,215.38,3
5544.0,19.15,53.06,6.99,2.05,63.29,191.9,3
5546.0,30.63,34.29,21.01,7.17,1.83,519.18,3
5547.0,4.63,7.31,9.93,2.2,28.84,195.86,1
5548.0,6.02,9.71,12.9,2.82,22.92,227.48,1
5551.0,27.55,65.52,5.1,1.56,58.8,225.01,3
5552.0,13.49,30.05,5.53,1.14,68.5,159.18,2
5558.0,18.08,22.77,18.68,19.39,39.8,208.67,2
5559.0,19.42,21.86,13.87,3.12,9.86,298.81,2
5565.0,13.0,15.45,4.44,0.85,21.22,291.49,2
5566.0,14.79,16.55,4.83,0.92,24.32,314.27,2
5569.0,25.34,61.88,6.89,5.13,61.04,199.61,3
5570.0,15.48,30.95,7.1,1.83,67.35,183.53,2
5574.0,6.02,9.71,12.9,2.82,22.92,227.48,1
5576.0,11.4,23.67,4.46,1.06,72.1,146.6,2
5581.0,14.19,29.8,6.9,1.33,64.57,179.12,2
5585.0,8.36,21.84,6.21,4.96,49.31,154.99,2
5586.0,15.19,30.36,8.02,1.73,65.07,194.46,2
5587.0,6.34,25.86,2.44,0.43,50.24,111.12,2
5588.0,19.18,35.61,8.24,3.46,73.04,198.17,2
5590.0,23.34,25.44,4.56,2.08,39.75,302.8,2
5592.0,9.07,15.43,14.3,10.61,17.23,241.81,1
5593.0,1.44,3.21,0.16,0.28,32.86,76.94,1
5594.0,51.53,65.89,14.07,6.37,3.12,967.32,4
5596.0,8.22,9.72,3.2,1.27,63.52,156.22,2
